Catalog #|Accession #|Class 1|Kingdom|Phylum/Division|Class|Order|Family|Sci. Name:Genus|Sci. Name:Species|Common Name|Item Count|Quantity|Storage Unit|Description|Dimens/Weight|Collector|Collection #|Collection Date|Condition|Condition Desc|Study #|Other Numbers|Cataloger|Catalog Date|Identified By|Ident Date|Repro Method|Locality|Unit|State|Reference Datum|Watrbody/Drain:Waterbody|Watrbody/Drain:Drainage|UTM Z/E/N|Lat LongN/W|Elevation|Depth|Depos Environ|Habitat/Comm|Habitat|Slope|Aspect|Soil Type|For/Per/Sub|Assoc Spec|Type Specimen|Threat/Endang|T/E Date|Rare|Exotic/Native|Age|Sex|Ctrl Prop|Location|Object Status|Status Date
KATM   36140|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asparagales|Orchidaceae|Neottia|cordata|heartleaf twayblade|2|0|EA|Neottia cordata vascular plant specimens mounted on herbarium sheet; originally called Listera cordata but that synonym not accepted by ITIS or ICMS||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-167|7/14/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60561; ALAAC # V143317|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, along upper Funnel Cr.|KATM|AK|NAD 27||||59.24N/154.8W __59 __14.689 __ __154 __48.1637|396||||Luetkea meadow; 0 degrees azimuth; 40 degrees slope; 100% vegetation cover; moist soil; locally numerous|||||Luetkea pectinata, Harrimanella stelleriana, Carex microchaeta, Saxifraga nelsoniana, Angelica lucida, Salix spp. (scattered)||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36141|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Draba|stenoloba|Alaska draba|2|0|EA|Draba stenoloba  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-168|7/14/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60562; ALAAC # V143318|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, along upper Funnel Cr.|KATM|AK|NAD 27||||59.24N/154.8W __59 __14.689 __ __154 __48.1637|396||||0 degrees azimuth; 40 degrees slope; 5% vegetation cover; rocky sand; scattered; flowers yellow|||||Luetkea pectinata, Harrimanella stelleriana, Carex microchaeta, Saxifraga nelsoniana, Angelica lucida, Salix spp. (scattered)||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36142|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Micranthes|lyallii|redstem saxifrage --Lyalls saxifrage'|2|0|EA|Micranthes lyallii  vascular plant specimens mounted on herbarium sheet; was Saxifraga lyallii||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-169|7/14/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60563; ALAAC # V143319|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, along upper Funnel Cr.|KATM|AK|NAD 27||||59.24N/154.8W __59 __14.689 __ __154 __48.1637|396||||0 degrees azimuth; 40 degrees slope; patchy|||||Luetkea pectinata, Harrimanella stelleriana, Carex microchaeta, Saxifraga nelsoniana, Angelica lucida, Salix spp. (scattered)||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36143|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Petasites|frigidus|arctic sweet-colts-foot --arctic sweet coltsfoot'|2|0|EA|Petasites frigidus  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-170|7/14/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60564; ALAAC # V143320; Photo # AJ 2-10|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, along upper Funnel Cr.|KATM|AK|NAD 27||||59.24N/154.8W __59 __14.6993 __ __154 __48.3117|396||||0 degrees slope; 100% vegetation cover; wet Sphagnum moss; patchy|||||Eriophorum spp., Salix reticulata, Vaccinium uliginosum, Festuca altaica||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36144|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Polygonaceae|Rumex|arcticus|arctic dock|2|0|EA|Rumex arcticus  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-171|7/14/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60565; ALAAC # V143321; Photo # AJ 2-10|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, along upper Funnel Cr.|KATM|AK|NAD 27||||59.24N/154.8W __59 __14.6993 __ __154 __48.3117|396||||0 degrees slope; 100% vegetation cover; wet Sphagnum moss; rare|||||Eriophorum spp., Salix reticulata, Vaccinium uliginosum, Festuca altaica||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36145|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Pyrola|asarifolia|liverleaf wintergreen --bog wintergreen --pink wintergreen|2|0|EA|Pyrola asarifolia  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-173|7/14/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60566; ALAAC # V143322|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, 0.5 mi. SW of SW corner of lake|KATM|AK|NAD 27||||59.23N/154.79W __59 __14.304 __ __154 __47.862|427||||low shrub meadow; 100% vegetation cover; wet soil; rare|||||Empetrum nigrum, Salix spp., Carex spp., Swertia perennis, Saxifraga hirculus||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36146|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Phyllodoce|aleutica|Aleutian mountainheath --Aleutian mountain heath|2|0|EA|Phyllodoce aleutica aleutica vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-174|7/15/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60567; ALAAC # V143323; Photo # AJ 2-11|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, SW edge of lake|KATM|AK|NAD 27||||59.24N/154.77W __59 __14.4659 __ __154 __46.753|396||||low shrub meadow; 45 degrees azimuth; 10 degrees slope; 100% vegetation cover; moist soil; patchy|||||Salix barclayi, Salix glauca, Phyllodoce aleutica, Luetkea pectinata, Sanguisorba sitchensis, Athyrium filix-femina, Veratrum viride, Heracleum lanatum, Calamagrostis canadensis, Senecio triangularis||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36147|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Vaccinium|ovalifolium|oval-leaf blueberry --Alaska blueberry|2|0|EA|Vaccinium ovalifolium  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-176|7/15/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60568; ALAAC # V143324; Photo # AJ 2-11|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, SW edge of lake|KATM|AK|NAD 27||||59.24N/154.77W __59 __14.4659 __ __154 __46.753|396||||low shrub meadow; 45 degrees azimuth; 10 degrees slope; 100% vegetation cover; moist soil; patchy|||||Salix barclayi, Salix glauca, Phyllodoce aleutica, Luetkea pectinata, Sanguisorba sitchensis, Athyrium filix-femina, Veratrum viride, Heracleum lanatum, Calamagrostis canadensis, Senecio triangularis||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36148|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Carex|anthoxanthea|grassyslope arctic sedge|2|0|EA|Carex anthoxanthea  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-178|7/15/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60569; ALAAC # V143325|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, SW edge of lake, 100 m E of GPS point|KATM|AK|NAD 27||||59.24N/154.8W __59 __14.6993 __ __154 __48.3117|396||||moist soil; scattered|||||Equisetum arvense, Eleocharis spp., Geum calthifolium, Primula tschuktschorum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36149|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Carex|membranacea|fragile sedge|2|0|EA|Carex membranacea  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-179|7/15/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60570; ALAAC # V143326|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, SW edge of lake, 100 m E of GPS point|KATM|AK|NAD 27||||59.24N/154.8W __59 __14.6993 __ __154 __48.3117|396||||shallow water; numerous; rhizomatous|||||Equisetum arvense, Eleocharis spp., Geum calthifolium, Primula tschuktschorum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36150|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Saxifraga|hirculus|yellow marsh saxifrage|2|0|EA|Saxifraga hirculus  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-180|7/15/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60571; ALAAC # V143327; Photo # AJ 2-12|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, S edge of lake|KATM|AK|NAD 27||||59.23N/154.76W __59 __14.1212 __ __154 __46.0665|396||||graminoid sedge meadow; 0 degrees azimuth; 10 degrees slope; moist thick organic layer over large cobbles; scattered; flowers bright yellow|||||Carex microchaeta, Festuca altaica, Salix reticulata, Bistorta plumosa, Dryas alaskensis||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36151|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Solidago|multiradiata|mountain goldenrod --Rocky Mountain goldenrod --manyray goldenrod --arctic goldenrod|2|0|EA|Solidago multiradiata vascular plant specimens mounted on herbarium sheet; ITIS and ICMS do not accept the synonym Solidago multiradiata var. arctica which was how originally called||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-181|7/15/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60572; ALAAC # V143328; Photo # AJ 2-12|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, S edge of lake|KATM|AK|NAD 27||||59.23N/154.76W __59 __14.1212 __ __154 __46.0665|396||||graminoid sedge meadow; 0 degrees azimuth; 10 degrees slope; moist thick organic layer over large cobbles; flowers bright yellow;|||||Carex microchaeta, Festuca altaica, Salix reticulata, Bistorta plumosa, Dryas alaskensis||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36152|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Therorhodion|camtschaticum|Kamchatka rhododendron|2|0|EA|Therorhodion camtschaticum  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-182|7/15/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60573; ALAAC # V143329; Photo # AJ 2-14|ANDERSON, MARGARET M.|6/26/2013 0:00|Murray, David F.|3/3/2006||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, S edge of lake|KATM|AK|NAD 27||||59.23N/154.76W __59 __14.05 __ __154 __45.9979|427||||dwarf shrub tundra; 0 degrees azimuth; 10-15 degrees slope; 90% vegetation cover; moist soil; numerous|||||Dryas alaskensis, Empetrum nigrum, Festuca altaica, Carex microchaeta||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36153|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asterales|Campanulaceae|Campanula|uniflora|arctic bellflower|2|0|EA|Campanula uniflora  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-183|7/15/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60574; ALAAC # V143330; Photo # AJ 2-14|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, S edge of lake|KATM|AK|NAD 27||||59.23N/154.76W __59 __14.05 __ __154 __45.9979|427||||dwarf shrub tundra; 0 degrees azimuth; 10-15 degrees slope; 90% vegetation cover; moist soil; rare, flowers blue|||||Dryas alaskensis, Empetrum nigrum, Festuca altaica, Carex microchaeta||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36154|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculus|nivalis|snow buttercup|2|0|EA|Ranunculus nivalis  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-184|7/15/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60575; ALAAC # V143331; Photo # AJ 2-15|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, SE edge of lake|KATM|AK|NAD 27||||59.22N/154.74W __59 __13.4755 __ __154 __44.4012|396||||snowbed meadow; saturated soil; patchy|||||Calamagrostis canadensis, Equisetum arvense, Polemonium acutiflorum, Rhodiola integrifolia, Saxifraga nelsoniana, Salix arctica||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36155|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Carex|micropoda|smallroot sedge|2|0|EA|Carex micropoda vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-187|7/15/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60576; ALAAC # V143332|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, E side of lake|KATM|AK|NAD 27||||59.22N/154.73W __59 __13.5621 __ __154 __44.1563|396||||rare; clumped|||||Carex spp., Salix spp., Luetkea pectinata, Vaccinium uliginosum, Phyllodoce spp.||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36156|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Juncaceae|Juncus|drummondii|Drummond rush --Drummonds rush'|2|0|EA|Juncus drummondii  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-188|7/15/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60577; ALAAC # V143333; Photo # AJ 2-16|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, E side of lake|KATM|AK|NAD 27||||59.22N/154.73W __59 __13.5621 __ __154 __44.1563|396||||patchy; rhizomatous; immature|||||Carex spp., Salix spp., Luetkea pectinata, Vaccinium uliginosum, Phyllodoce spp.||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36157|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Hieracium|triste|woolly hawkweed --slender hawkweed --low alpine hawkweed|2|0|EA|Hieracium triste  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-189|7/15/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60578; ALAAC # V143334; Photo # AJ 2-17|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, N side of lake|KATM|AK|NAD 27||||59.23N/154.73W __59 __13.9122 __ __154 __44.0526|396||||ericaceous heath; 45 degrees azimuth; 5 degrees slope; 100% vegetation cover; moist soil; scattered|||||Empetrum nigrum, Leutkea pectinata, Geum calthifolium||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36158|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Pteridaceae|Cryptogramma|sitchensis|Sitka rockbrake|2|0|EA|Cryptogramma sitchensis  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-191|7/16/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60579; ALAAC # V143335; Photo # AJ 2-19|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, hills 4 mi. E of lake|KATM|AK|NAD 27||||59.22N/154.65W __59 __13.589 __ __154 __39.2595|610||||180 degrees azimuth; 40 degrees slope; 10% vegetation cover; talus; rare|||||Leutkea pectinata, Harrimanella stelleriana, Carex spp., Epilobium latifolium||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36159|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Eriophorum|angustifolium|tall cottongrass|2|0|EA|Eriophorum angustifolium ssp. angustifolium vascular plant specimens mounted on herbarium sheet; originally called Eriophorum angustifolium scabriusculum but that synonym not accepted by ITIS or ICMS||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-193|7/16/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60580; ALAAC # V143336; Photo # AJ 2-25|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, N side of hills NE of lake|KATM|AK|NAD 27||||59.25N/154.66W __59 __15.4304 __ __154 __39.6614|549||||forb graminoid meadow; 0-5 degrees slope; wet soil; patchy not clumped|||||Calamagrostis canadensis, Eriophorum spp., Geum calthifolium, Empetrum nigrum, Petasites frigidus, Artemisia artica||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36160|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Orobanchaceae|Pedicularis|labradorica|Labrador lousewort|2|0|EA|Pedicularis labradorica  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-194|7/16/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60581; ALAAC # V143337; Photo # AJ 2-26|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, hills N of lake|KATM|AK|NAD 27||||59.25N/154.74W __59 __15.2396 __ __154 __44.6222|457||||dwarf shrub tundra; 100% vegetation cover; moist soil; patchy|||||Empetrum nigrum, Betula nana, Vaccinium uliginosum, Salix arctica, Vaccinium vitis-idaea, Rhododendron camtschaticum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36161|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Eriophorum|scheuchzeri|white cottonsedge --white cottongrass --shealted cotton-grass --dense cotton-grass|2|0|EA|Eriophorum scheuchzeri  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-197|7/17/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60582; ALAAC # V143338; Photo # AJ 2-27|ANDERSON, MARGARET M.|6/26/2013 0:00|Elven, Reidar; Murray, David F.|2/27/2009||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, ponds on NW side of lake|KATM|AK|NAD 27||||59.24N/154.77W __59 __14.707 __ __154 __46.5972|396||||patchy; stoloniferous|||||Calamagrostis canadensis, Carex podocarpa, Sanguisorba sitchensis, Salix glauca, Rumex spp.||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36162|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Carex|utriculata|Northwest Territory sedge|2|0|EA|Carex utriculata  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-204|7/17/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60583; ALAAC # V143339; Photo # AJ 2-29|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, edge of pond just NW of lake|KATM|AK|NAD 27||||59.24N/154.77W __59 __14.8437 __ __154 __46.4066|396||||wet low shrub sedge meadow; 100% vegetation cover; scattered; loosely clumped|||||Sphagnum spp., Salix glauca, Salix ovalifolium, Eriophorum spp., Carex spp.||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36163|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Caltha|palustris|yellow marsh-marigold --yellow marshmarigold --yellow marsh marigold|2|0|EA|Caltha palustris  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-205|7/17/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60584; ALAAC # V143340; Photo # AJ 2-29|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, edge of pond just NW of lake|KATM|AK|NAD 27||||59.24N/154.77W __59 __14.8437 __ __154 __46.4066|396||||wet low shrub sedge meadow; 100% vegetation cover; patchy|||||Sphagnum spp., Salix glauca, Salix ovalifolium, Eriophorum spp., Carex spp.||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36164|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix|fuscescens|Alaska bog willow|2|0|EA|Salix fuscescens  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-206|7/17/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60585; ALAAC # V143341; Photo # AJ 2-29|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, edge of pond just NW of lake|KATM|AK|NAD 27||||59.24N/154.77W __59 __14.8437 __ __154 __46.4066|396||||wet low shrub sedge meadow; 100% vegetation cover; prostrate shrub|||||Sphagnum spp., Salix glauca, Salix ovalifolium, Eriophorum spp., Carex spp.||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36165|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Comarum|palustre|purple marshlocks|2|0|EA|Comarum palustre  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-207|7/17/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60586; ALAAC # V143342; Photo # AJ 2-29|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, edge of pond just NW of lake|KATM|AK|NAD 27||||59.24N/154.77W __59 __14.8437 __ __154 __46.4066|396||||wet low shrub sedge meadow; 100% vegetation cover; patchy|||||Sphagnum spp., Salix glauca, Salix ovalifolium, Eriophorum spp., Carex spp.||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36166|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Lagotis|glauca|weaselsnout|2|0|EA|Lagotis glauca  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-208|7/17/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60587; ALAAC # V143343; Photo # AJ 2-29|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, edge of pond just NW of lake|KATM|AK|NAD 27||||59.24N/154.77W __59 __14.8437 __ __154 __46.4066|396||||wet low shrub sedge meadow; 100% vegetation cover; scattered|||||Sphagnum spp., Salix glauca, Salix ovalifolium, Eriophorum spp., Carex spp.||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
